Algoritmo,Fase,N,Tempo(s),Comparacoes,Trocas
Selection,Desordenado->Crescente,310,0.000000,47895,306
Shell,Desordenado->Crescente,310,0.000000,3639,1640
Quick_Lomuto,Desordenado->Crescente,310,0.000000,3174,1380
Quick_Hoare,Desordenado->Crescente,310,0.000000,4245,606
Merge,Desordenado->Crescente,310,0.003000,2154,25242
Radix,Desordenado->Crescente,310,0.003000,1860,1860
Heap,Desordenado->Crescente,310,0.000000,4220,2308
Bubble_Flag,Ordenado->Crescente,310,0.000000,309,0
Insertion,Ordenado->Crescente,310,0.000000,309,0
Selection,Ordenado->Crescente,310,0.000000,47895,0
Shell,Ordenado->Crescente,310,0.000000,2175,0
Quick_Lomuto,Ordenado->Crescente,310,0.007000,47895,48204
Quick_Hoare,Ordenado->Crescente,310,0.000000,48513,0
Merge,Ordenado->Crescente,310,0.006000,1363,0
Radix,Ordenado->Crescente,310,0.004000,1860,1860
Heap,Ordenado->Crescente,310,0.001000,4406,2506
InsertionDesc,Crescente->Decrescente,310,0.003000,47895,47895
Bubble_Flag,Decrescente->Crescente,310,0.008000,47895,47895
Insertion,Decrescente->Crescente,310,0.003000,47895,47895
Selection,Decrescente->Crescente,310,0.000000,47895,155
Shell,Decrescente->Crescente,310,0.000000,3053,1177
Quick_Lomuto,Decrescente->Crescente,310,0.005000,47895,24179
Quick_Hoare,Decrescente->Crescente,310,0.000000,48668,155
Merge,Decrescente->Crescente,310,0.003000,1225,47895
Radix,Decrescente->Crescente,310,0.007000,1860,1860
Heap,Decrescente->Crescente,310,0.000000,3933,2091
